size,avg_b,avg_g,avg_r,avg_h,avg_s,avg_v,std_b,std_g,std_r,std_h,std_s,std_v,blob_count
113682.65953569223,20.224261201143946,73.08944092412942,142.40096310211402,25.301053678277867,87.54410083996152,55.843514942005555,30.958485527878306,64.29378465819455,64.39114353446473,67.17941277473,56.05499829178863,25.94011481684302,76
52444.71237643257,5.040861061749148,96.65098907179417,167.47089181395455,32.94701356738763,96.81916611373929,65.67485953488415,9.437359402396313,62.039103101382544,70.09402308939698,55.93720953312973,86.40150510872134,27.979821611661173,153
121666.36868004489,70.99882667501032,100.13557236926313,142.68506535064637,28.364347001052657,50.66992648215202,55.95492758848881,39.23398924201732,50.87204701615496,58.2017400808258,49.839292005715116,35.87680972724928,23.284976180047263,91
22027.86169794821,65.26886081082792,90.50271839000335,118.00688151874996,29.931522042388625,44.03485716076718,46.27720843872546,28.265916941100603,33.51690044647514,41.07852331892009,43.05183380395693,27.749778642042347,16.121020662943934,305
113863.60166887211,51.269811779320044,73.00394264265076,149.44060921930262,33.92120824408802,64.81990434964794,58.60418377607314,38.30265395388253,46.91659637118831,52.951029724643604,86.03060384412461,36.42251036181516,21.962721351948108,206
3332.102411897026,68.50709197700577,89.92108222944265,112.60319295176201,34.830917436744485,37.06954596535187,44.15811488304395,14.883938966046308,18.48597218570336,25.360714779553014,40.76022850011509,36.6947690757014,9.957815101579572,516
48598.97273799137,100.9866661554241,117.46398136520925,151.0986091007563,23.036334041495685,32.546033659922564,59.254397860600314,21.934889455474988,22.92265847960515,30.614326877704677,19.248752646003783,27.7371094484603,12.039668867437154,213
30101.48116701806,113.6500512849735,129.92946891560777,170.920337341159,20.808073641665366,34.303576903755605,67.02758327104274,25.960466743867606,31.210167634917227,42.208026876555955,35.51743068523683,37.1832168953099,16.672202536315776,90
213865.97666304358,51.69496951939884,90.81009482853676,152.06352488067665,22.94230301849798,65.8267199603974,59.63275485516731,23.302456515938708,44.40264116732746,62.135096883867995,34.97102653645579,60.668970852155105,24.399724229165994,170
203408.92146930413,46.26359991920069,104.69549543950161,171.08326988517183,28.24905567331044,74.6482552330284,67.09147838634186,51.5393189594783,58.12377327563382,63.17562469707059,53.48608360206857,32.916094262125235,26.766192233117,125
113288.17420777182,36.24570734074181,86.2828703463804,150.54817435380482,26.2288567262065,75.9712834458816,59.03854038824416,32.61811949465916,49.63474882704279,60.91923105816189,41.26125467461299,50.941044638815754,24.522099523209796,811
36796.70092684396,76.49550372893047,102.31475621847656,127.85304996335734,30.614110381162774,40.070195524471366,50.1384509660225,39.538813350327146,43.52924550572938,48.310131592613146,50.25216291974692,18.749686554069143,19.022959747845402,460
124307.38591056179,68.53129807437276,94.57403851254574,147.8570049334253,37.01901048170942,55.14997431652305,57.99518619181799,47.45000193750815,49.73445410102163,51.126120501760084,46.84601972441055,9.42664436285944,20.090527984669823,75
158539.89748115878,91.17686124627133,116.39880376777339,155.25322977584725,24.8243763168954,40.940532822528986,60.88361951994003,40.40579795753446,46.87110848613983,53.86728849381743,38.32928178877215,24.821569742420202,21.1302736830853,315
18198.230069718116,10.665292512882703,70.35493179751445,139.05056077599278,26.7014407894969,93.94161131793736,54.529631676859914,27.787422617051476,51.65298354029902,57.77869942227538,53.945143227727115,66.00759356665769,24.240831124774274,475
179342.8321867484,7.853242216696923,62.075013601395234,124.56893492177291,27.995279573811995,93.24932145866643,48.85056271442075,15.872653885270802,40.49644086044983,69.20103688860216,32.27559948969449,75.98136536555076,27.163707100726203,215
134580.2498101325,30.858302805575413,89.11409935668331,158.76611083809863,27.836483842778293,82.72749336320769,62.26121993650928,49.391248570582775,68.40985452491138,60.94807691931258,91.1138448554302,44.35637855219554,29.221770431779962,122
75177.99332639867,52.95057327520716,86.02037143090894,134.85887261719708,24.3965062648787,61.411511288047,52.88583239890081,33.475893539897186,50.65099160259419,64.74802119232959,45.451847214454084,53.348502053140905,26.372595919539453,44
14775.433798005399,55.54779877679211,87.59733318640149,148.6624331919113,27.492530567415304,59.50465072181927,58.29899340859269,22.750476695373433,30.12739484500674,48.63955169618069,41.47772688689484,51.3943680026406,19.115119298808708,52
18602.61317196131,59.97633051468616,82.2055884298407,103.02170298728926,32.29104892246933,39.96708013444784,40.400667838152664,26.565531084691276,32.03448056926031,34.01768554349915,101.61105423319665,17.534755145184207,13.640781975938845,91
153621.5950397081,51.69871002039667,67.73040077246885,116.86255044916022,15.549690977707087,57.05713559156425,45.82845115653344,38.230752736217205,41.63690187976467,45.9083705504087,40.67816625300417,19.525274738413216,18.143904440328154,163
237097.68791086698,63.19645226999166,90.40456698867321,118.01478735224221,29.917637712151947,46.77098263273049,46.28030876558521,27.28276836021534,27.06272704779483,30.221587003088636,344.8649471837656,10.668160286779065,11.855388127347323,104
240701.7252714249,58.44756377214522,74.11166670048911,99.5670150374414,22.76711124212766,41.336167938996425,39.04588824997701,10.43516797548862,10.577778558868186,11.87852403933922,8.144788431420949,12.667323102766883,4.671565204158877,19
