size,avg_b,avg_g,avg_r,avg_h,avg_s,avg_v,std_b,std_g,std_r,std_h,std_s,std_v,blob_count,fire
2408.081282,74.07474372,104.6013399,123.5399144,36.84187952,40.05735523,48.44702527,38.78856493,41.57464175,44.37057081,54.87532571,13.96876085,17.50555247,232,0
250.5517068,78.20205823,120.2046938,135.3163906,44.08773082,42.86375406,53.0652512,26.98489741,26.4028955,28.07268326,173.6843355,12.83141451,11.40822057,268,0
35834.80697,15.10673889,35.18249571,134.5141472,19.20740084,90.04689101,52.75064596,20.87875176,33.50418088,46.13222556,47.58829211,60.96298669,18.6952292,331,0
67965.49608,50.76244219,75.06912532,97.05650347,30.40066002,46.47081763,38.06137391,24.30760504,31.96152014,40.07427566,31.11187121,37.94222515,15.72007948,246,0
20219.10729,56.45152668,94.05837877,111.3660817,40.22894858,49.05969833,43.6729732,34.1415988,35.79083004,39.18827993,96.16661224,15.85296787,15.4378596,315,0
46384.81092,77.44522866,127.3288749,181.885084,27.78910017,57.15214477,71.32748393,40.60988788,47.97308867,48.24983065,65.03005546,26.6852547,20.07680927,26,0
72.10808046,73.09580634,86.82407092,111.3648142,21.68185927,32.5834264,43.67247615,19.30877632,21.44364959,25.3884743,97.57733478,21.75024224,10.02643451,124,0
23154.09887,81.65973406,106.3322537,146.1632799,28.50715974,44.22110811,57.3189333,52.91140529,61.73578208,62.08401093,61.48266458,15.71982006,24.44006637,56,0
6697.01997,34.48428077,43.48060636,144.8705553,49.07916365,78.20202743,56.81198246,34.9650809,41.34922164,50.33854144,76.20785804,41.40866807,20.38107682,492,0
174312.0288,98.12175833,122.0232564,140.6118306,34.90970279,30.2006099,55.14189437,35.73420224,42.64626621,44.79013765,48.51274273,20.37451798,17.5715579,178,0
6759.069766,98.41840768,112.6333731,142.4624297,25.09381609,31.17180768,55.9141695,38.91009341,40.39930943,41.10782078,92.79367196,25.03242962,17.85204022,279,0
3218.483416,92.25948381,110.1230112,140.5349824,26.20771552,34.36296277,55.1117578,35.51337877,37.44204787,37.00089995,127.3706001,11.82602316,15.26800221,544,0
1452.820741,89.96647486,120.2935326,146.4426445,32.03179121,38.75199709,57.42848803,27.3357024,32.76953574,36.03475142,63.74645601,26.72903625,14.21881629,200,0
21361.20233,68.12150291,92.81138858,120.1807167,28.77523662,45.00415151,47.12969283,41.3439266,43.38337552,41.42564678,146.5666246,11.9495977,17.462617,369,0
961.8154836,93.042285,121.1668157,155.8506168,28.58374267,39.86304884,61.11788896,33.97881204,36.09902641,36.82505948,146.1904548,22.06390397,15.69204875,224,0
31293.44436,67.22322586,116.0492406,151.1273559,34.92231544,56.81261099,59.27102153,31.88825055,38.77851856,45.0965426,79.86369195,37.54271829,18.6329552,380,0
31274.36334,119.8942403,150.9656834,168.0638922,37.93042237,28.71059966,65.90740872,35.49492993,39.01103445,39.60485013,67.40630177,12.14495307,15.63806775,125,0
210927.4063,61.87299741,119.8460779,178.6278752,40.28671711,66.55671013,70.12840116,62.42522352,58.07446561,53.03139088,195.8958357,17.83255121,24.64354983,110,0
566.6179718,78.10860077,89.00949936,120.6998716,17.44795065,34.87712249,47.33328299,23.72427083,24.67108117,28.84087912,74.64088445,18.74216061,11.31834124,63,0
13810.59601,98.03026364,133.2695567,172.5318374,34.36222516,46.32184957,67.65955405,50.97962573,43.61877984,33.81999471,202.2728378,37.6843901,20.7338298,359,0
58125.02988,56.65799707,77.73687705,98.93050945,30.52733918,42.30683996,38.79627822,26.74473396,34.11534574,39.88632425,41.40141567,32.23090962,15.67320311,298,0
22266.51357,108.285797,133.3505235,149.132684,38.89880683,28.34776852,58.4834055,45.65563962,42.89347237,41.37540068,168.7080705,14.71896229,18.52872734,103,0
1423.633168,95.67404322,115.1775579,130.7680292,33.50933231,30.40301317,51.28158006,20.9453059,23.69590146,24.09364301,59.40422027,14.95623511,9.547900868,31,0
53056.60882,58.98106009,73.35053063,86.62007376,32.41791886,31.94318108,33.96865638,21.87801994,24.21086528,26.56570186,62.54285924,18.25320197,10.46624485,523,0
12505.11247,70.7869198,86.47687356,100.5777934,30.54883312,30.2503902,39.44227192,25.94437778,28.69182985,31.2584167,54.45909891,18.92637367,12.28183272,259,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51678.27049,144.5942771,175.5008622,195.1197723,35.92125429,26.34443614,76.51755777,27.25332768,28.45217076,26.67979966,139.2799947,7.310747997,11.2051966,94,0
14103.04713,101.5721557,140.6100118,170.725198,33.56076831,40.73276371,66.95105806,36.98013107,48.19962623,54.85759507,42.0470226,32.98998932,21.53067384,126,0
55526.24289,73.61932328,106.2834962,148.3789697,26.48763964,50.96228314,58.18783126,37.92593583,43.12773469,44.27503254,60.57081338,18.1489277,17.49039239,172,0
1136.297073,119.2812087,121.5174693,152.9958451,15.23750823,22.23458739,59.99837064,8.767061288,9.081180795,8.610925089,153.2012693,9.500288104,3.636942024,219,0
70396.03808,65.65283371,100.7909241,124.5139178,40.33606919,49.573972,48.85562675,48.24391071,45.6204992,47.93929066,229.2044663,12.49692451,19.48883224,149,0
47931.73207,58.79297399,70.99029365,172.8334844,12.04840657,66.15700601,67.77783703,31.43283532,33.04587695,30.03257587,136.3788807,24.88320838,13.85954814,125,0
1163.009434,68.48689727,85.2442348,94.94654088,38.18509724,27.82666193,37.2339376,17.89417396,19.41364806,20.01008711,74.42929174,10.89841096,7.85992346,26,0
2201.223964,73.05616703,106.1825591,138.2264156,31.64975216,47.16481235,54.20643748,33.05498426,41.37849638,46.41001012,52.86271525,29.66832748,18.4730291,610,0
9270.364283,80.27895899,102.9505557,128.7102892,34.61495257,37.97996939,50.47462323,34.76099492,36.24864298,34.80862205,134.9072745,12.28217941,14.66834838,364,0
242973.545,75.19748489,106.441686,165.1033062,36.27050816,59.30115424,66.55657966,51.49349896,55.29337702,65.76896409,38.45519602,24.63762851,25.91990327,122,0
4595.907141,80.75377609,125.9492887,211.4288477,22.21640356,62.19497959,82.91327362,29.68969254,38.4149068,45.65048088,101.1452385,36.93703885,18.92963228,65,0
521.488207,74.87749027,100.9622166,114.627204,39.4751449,34.70217301,44.95184472,25.46866182,30.76404482,35.44687465,39.24100049,29.16923967,13.94226854,83,0
236184.6614,74.7693817,113.547957,148.8028847,32.00542861,50.71442819,58.36359006,47.32106917,53.04730524,56.32831787,48.49804032,18.83232928,22.340042,79,0
2695.9434,113.8632682,140.7130388,174.3776208,32.87763504,34.71695402,68.38338071,45.36591967,48.41413576,45.1219736,99.50720427,16.14441484,19.56766631,108,0
2242.315855,68.22309426,95.55502213,143.0041329,26.60631321,51.6844436,56.08005213,39.30902044,49.23308381,44.3885071,97.63514218,28.48741576,20.46064904,148,0
740.888161,106.2719934,128.0211745,141.1496256,38.0870318,24.74595963,55.35279437,19.7045938,21.39955818,22.83668111,62.62103253,15.61639935,9.033221136,165,0
